label,file_name,source_path,sha256,width,height,dhash,is_valid,similarity_group,split,target_path
infected,img5.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img5.jpg,16a12f1ad6ee9306d4403b9361cf5ac7237281b1bea01f5c102026834a1a3096,299,266,7849954090767039516,True,infected-group-0003,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/16a12f1ad6ee_img5.jpg
infected,img_0_1023.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1023.jpg,04381ac7e2fabb0d4b1bd88dc937c024590217d43120e1a05b7cb05817186949,225,225,7405852677543622768,True,infected-group-0004,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/04381ac7e2fa_img_0_1023.jpg
infected,img_0_1071.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1071.jpg,5688452a4242fd725dfc22c8cad43c9e2c5ff618bc704fac9d9563b2089ca9a4,300,300,13466515676866867502,True,infected-group-0006,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/5688452a4242_img_0_1071.jpg
infected,img_0_1075.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1075.jpg,6c653af950fe573ce110ae8228ea23043bc6ac98f6c369a42f1a10cea1ce83a1,299,266,12380201207148002107,True,infected-group-0007,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/6c653af950fe_img_0_1075.jpg
infected,img_0_1088.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1088.jpg,479b8e53eb8f93734b2360ca7a10c8e0aa8c232174e7dd8b53e027cd2be7a0ec,225,225,4354036189274227004,True,infected-group-0011,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/479b8e53eb8f_img_0_1088.jpg
infected,img_0_1099.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1099.jpg,2f38f278f63be3fa5bfb8c329889ff610d5955ccfd47f5b23e03f58e230f6879,225,225,2178130802441722656,True,infected-group-0012,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/2f38f278f63b_img_0_1099.jpg
infected,img_0_1130.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1130.jpg,b2fb40e2bab23d6a2fa4ba944a4d9b699c71e338f864f5b23fd2cc1a4fa30d43,299,266,4069337697275153934,True,infected-group-0014,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/b2fb40e2bab2_img_0_1130.jpg
infected,img_0_1182.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1182.jpg,0c6b5f2c2fc8b56b3f25355f6638e8046faf726d0590bbca58acba38714ea5b6,233,216,14761904042505435169,True,infected-group-0017,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/0c6b5f2c2fc8_img_0_1182.jpg
infected,img_0_1195.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1195.jpg,35101de10fc7ad912abab9a382f4883c57f46c93b5d4924861a8da9ab22c1b4a,320,320,1973948931565342257,True,infected-group-0018,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/35101de10fc7_img_0_1195.jpg
infected,img_0_1223.jpg,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/extracted/infected/img_0_1223.jpg,28c1693633a6e7ca40243c8f95e06120e9d65a7917754ab989d1e508a30f6c56,343,343,2415345991513139337,True,infected-group-0019,train,/Users/researchanddevelopment2/Documents/Zindi/endometrial-infection-zero-cost-app/data/processed/training_workspace/splits/train/infected/28c1693633a6_img_0_1223.jpg
